group,signal,phase,lambda,lambda_025,lambda_500,lambda_975,N0,N0_025,N0_500,N0_975
variation,localization,1,0.508999216055725,0.194599452807004,0.432236216806181,1,6.49432399472358,4.78063871234793,6.52281024845479,8.7656380645615
variation,localization,2,0.0338990209427907,0,0.0222524007622786,0.870025773942871,8.75636542144734,0.129688938589806,10.5680885750087,18.7863689729763
variation,localization,3,0.390213561038769,0.0348859189338529,0.308859631594805,1,4.32822160372697,2.68796125756161,4.63581664433733,11.9825869653844
variation,localization,4,1,0.401389197603422,0.680485595383242,0.997472869697178,6.80098881084095,4.51221396717227,6.87642053593136,9.57147521568843
variation,localization,5,0.538558211003172,0.202030691019512,0.379598252549157,0.661281746411129,10.0187741568091,7.92055997059138,10.3895234503549,13.2498198149845
variation,localization,6,1,0.457998368778976,0.687564364283558,0.880465222547062,5.13564131481495,3.23570107159083,5.06428186828129,7.0223387360658
variation,localization,7,0.556599387690266,0.256082615562427,0.841287859766467,1,4.26680387986599,2.58304968748207,4.23337260171676,6.03916022738014
variation,localization,8,0.672277771984209,0.424544866657569,0.84907467551594,1,10.9959699134949,9.48379126672788,10.9188762049861,12.349419743711
variation,localization,9,0.436715788963535,0.089408961610949,0.371447913997181,1,5.31930527610697,3.12140271753506,5.35130290010189,9.86905003088149
variation,localization,10,0.922265906478051,0.369315702414163,0.627567237626744,1,7.08850125962954,4.67615635944008,7.06407294827156,9.46263161287649
variation,localization,11,0.990097145618209,0.585165566017257,0.760686317564351,1,8.66626595062212,6.49945677739058,8.66994740161271,10.6647979230498
variation,localization,12,1,0.324927849506954,0.602298003847134,1,7.35527957696878,5.17494166563386,7.46754739112423,9.89635698596414
variation,localization,13,0.418166422235616,0.20788815773047,0.36330433726551,1,10.6968058672433,8.2819753396266,10.7802724146064,12.9662580444519
variation,localization,14,0.754947611330384,0.541813352275928,0.793164692427603,1,12.0565140087493,9.62655066460494,12.0674678918149,14.4363834786844
variation,localization,15,0.230837188678032,0.0096111753284042,0.147436249061892,1,4.01610223717682,1.69955735300775,5.285443207665,17.0174148748038
variation,localization,16,1,0.163522058224204,0.558846693605791,0.895584005819209,7.28200705820386,5.98385549174219,7.72730700703582,9.69032589170748
variation,localization,17,0.0349202381525826,0,0.03336415079368,1,10.9803324877824,0.0503570613110522,9.76713354447558,20.345783579732
variation,localization,18,0.860740636903237,0,0.299333555169995,0.653378721669787,1.11875344645838,0,1.48388474233328,11.2961811548883
variation,localization,19,0.984785093974016,0.406237485679022,0.811430312657792,1,12.7353035704637,10.7754401975482,12.8868981925396,15.3899457594109
variation,localization,20,0.874674135753849,0.417309498174358,0.639557286608964,1,7.31715828550538,4.97110645577247,7.23714862111013,9.70867081116145
variation,localization,21,0.580888023578903,0.189909453061138,0.83735201023361,1,5.66230796042584,3.71832070005855,5.62373302278504,7.56954665377601
variation,localization,22,0.484986482593348,0.114142389934044,1,1,3.32594225222835,1.18109569729942,3.32736459620652,5.9556247301716
variation,localization,23,0.693530866017346,0.387206140143617,0.553252565200166,0.876006553416312,11.6208076421569,8.94836432232798,11.6142673952616,14.550685123425
variation,localization,24,0.967752859672652,0.328236438218431,0.556332951454015,0.804757796714715,8.07787622485964,6.19096071388398,8.25505729376641,10.1843358111931
variation,reaches,1,0.280255225894599,0.184110546854311,0.279112039173748,0.398758169860871,21.8090486049033,19.845860432458,21.950082717203,24.5876281926543
variation,reaches,2,0.405041926412078,0.18087408846941,0.405114426005582,0.917989725904391,8.34990253057292,6.81716343758128,8.50055033255974,10.2975645199332
variation,reaches,3,0.374050702534744,0.275208678075296,0.378234906264449,0.487410608312948,10.2340453707611,9.12176208280212,10.2620259498117,11.3486665622136
variation,reaches,4,0.360457242997066,0.22080813142368,0.363075275402036,0.614117260241412,10.2754890983927,8.65805099569666,10.2882084772211,12.3433314209582
variation,reaches,5,0.323430698617649,0.260777960194597,0.325236874314523,0.407406828622648,22.8065898657775,20.9931386424217,22.8149785840362,24.4643373790444
variation,reaches,6,0.413538204648681,0.313148855762069,0.41925961562095,0.558730844814413,10.0112763604929,8.80122828160488,9.98421778541702,11.1651429311443
variation,reaches,7,0.361216602419901,0.27989094339446,0.362590482093979,0.464199045121966,13.267049327817,12.1379369264173,13.3145051351241,14.4219259651744
variation,reaches,8,0.335210057652707,0.280749530344645,0.33347570533588,0.409260177166836,31.3663999915133,29.6232323649331,31.4375517317265,33.0539953970368
variation,reaches,9,0.285361263997481,0.148007380130807,0.288110558720344,0.422200946691831,14.3575130295248,11.878567437967,14.6397473142657,17.6489191786671
variation,reaches,10,0.47694437472295,0.365273873615732,0.476408208309045,0.624464290849719,18.946701840902,17.1568578085792,18.9426242201093,20.6252023764848
variation,reaches,11,0.526662422383962,0.408623168213606,0.521296915035291,0.701592597747009,19.4270479374244,17.8435200216907,19.4536218757321,20.8708242315316
variation,reaches,12,0.564827532002087,0.420748000360723,0.567375476879941,0.79493007041249,20.3450086135906,17.0027086557341,20.4141141726671,23.754255612239
variation,reaches,13,0.372934340853342,0.306532865840085,0.372463054835838,0.471501041851353,28.1528832537142,25.4531977949281,28.1779218788619,30.8336925873603
variation,reaches,14,0.378727924601402,0.304255738668714,0.380767812573243,0.468280567964668,29.8845342701237,28.2392196024432,29.9028861243509,31.5468542238399
variation,reaches,15,0.491970940200302,0.260663495810671,0.49134912012762,0.733964145521829,7.58374952876046,6.07264287836759,7.70850068876752,9.34589032803887
variation,reaches,16,0.453421436299134,0.356472837913335,0.453096433977636,0.602710606658157,18.7745236036446,17.0481995246248,18.7982679894818,20.7051816922744
variation,reaches,17,0.245720949093325,0.0382026301594508,0.253383701357477,0.525736613481834,8.97157089802013,5.93673370873326,9.57013819195993,24.6122435792894
variation,reaches,18,0.271096194241683,0.133203173947265,0.269602050975151,0.42889937434556,9.89411079196963,8.10418619947559,10.0875554253684,13.7047027807216
variation,reaches,19,0.458797643307823,0.389613912479022,0.460484294267665,0.571745502402423,34.6946370856105,32.0330511379645,34.6710415507267,37.7186378290242
variation,reaches,20,0.489966166798396,0.305135216228139,0.492033725999788,0.72747263418678,15.2873010008977,13.0095407528149,15.3750517596283,17.5932387689923
variation,reaches,21,0.582605758894228,0.447227790836191,0.587318200684872,0.725198557474048,13.4277532425086,11.164867819012,13.4810170026369,15.9593228554387
variation,reaches,22,0.73063081765615,0.413600386653169,0.734419576138724,1,10.6656250186747,8.87330839177477,10.7157991765447,12.5477232871724
variation,reaches,23,0.436312141906851,0.357869999043177,0.43607501429481,0.560601532831371,34.0062086180644,31.0438654608463,34.0104677471912,37.2312215675956
variation,reaches,24,0.538443401137896,0.424223254928486,0.536581748384526,0.684773732172164,22.1741483199872,19.5027003916234,22.1663730870466,24.9158140549201
